,"DDe ep pth th |
(cm)
(cm)","Hori-
Hori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%) )","SSiilltt
(0.05-
(0.05-
0.002mm)|
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e
ffr ra ag g. . |
vvool.l . |
((%%) )","| ppH H
11: :2 2. .5
5
water
water","EC
EC
| 11: :2 2. .5 5
| wwa ate ter r
(dS/m)
(dS/m)",lat_long,page,x,y,state
10,"59 — 95
59 - 95","Bt3
Bt3","58.0
58.0","5.8
5.8","36.2
36.2",sscc,--,"6.2
6.2","0.05
0.05","19°56'45""N and 84°05' E ",21,19.94583333,84.08333333,Orissa
11,"95-150
95 - 150 |","BBt t4
4","60.0
60.0","5.9
5.9","34.1
34.1",ssccli,--,"6.4
6.4","0.03
0.03","19°56'45""N and 84°05' E ",21,19.94583333,84.08333333,Orissa
12,"0-15
0- 15","Ap
Ap","62.0
62.0","23.3
23.3",1144..77,ssll,--,"5.8
5.8","0.18
0.18","19°
41 '10""N and 84°21'30"" ",23,19.68611111,84.35833333,Orissa
13,"15-31
IS - 31",BBtlt l,"42.7
42.7","23.8
23.8","33.5
33.5",cclI,-~,"6.0
6.0","0.14
0.14","19°
41 '10""N and 84°21'30"" ",23,19.68611111,84.35833333,Orissa
14,331 1—- 6600,"Bt2
Bt2","34.5
34.5","28.7
28.7","36.8
36.8",ccll,--,66..00 |,"0. 01 .1
1 1","19°
41 '10""N and 84°21'30"" ",23,19.68611111,84.35833333,Orissa
15,660 0 -— 998 8,"Bt3
Bt3","32.1
32.1","23.6
23.6","44.3
44.3",cc,--,"6.1
6.1","0.07
0.07","19°
41 '10""N and 84°21'30"" ",23,19.68611111,84.35833333,Orissa
16,"98-150
98 - 150 |","BBt t4
4","24.8
24.8","25.3
25.3","49.9
49.9",cc,--,"6.3
6.3","0.04
0.04","19°
41 '10""N and 84°21'30"" ",23,19.68611111,84.35833333,Orissa
17,"Depth |
Depth
(em)
(em)","Hori-
Hori-
zon
zon","Sand
Sand
(2.0-0.05
(2.0-0.05
mm)
mm)
((%%) )","SSiiltl t
(0.05-
(0.05-
0.002mm)|
O.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%*) )",TTe ex xt tu ure re |,"CCo oa ars rse e | ppH H
ff rra ag g. . 11: :2 2. .5 5 |
vvool.l . | wwa ate ter r
((%a) )",,"EC
EC
11: :2 2. .5
5
water
| water
(dS/m)_
(dS/m)","19°50'20"" Nand 84°49'20"" ",25,19.83888889,84.82222222,Orissa
18,"0-14
0 - ]4","A
A","60.0
60.0","11.5
11.5","28.5
28.5","sc]
scI",--,"6.6
6.6","0.16
0.16","19°50'20"" Nand 84°49'20"" ",25,19.83888889,84.82222222,Orissa
19,11 44 - - 4 40 0 |,"B Bw wi
l","50.0
50.0","18.8
18.8","31.2
31.2","scl
sci",-~,"6.7
6.7","0.07
0.07","19°50'20"" Nand 84°49'20"" ",25,19.83888889,84.82222222,Orissa
20,440 0 -— 660 0,"Bw2
Bw2","54.5
54.5","14.4
14.4","31.1
31.1","scl
scI",--,"7.0
7.0","0.05
0.05","19°50'20"" Nand 84°49'20"" ",25,19.83888889,84.82222222,Orissa
21,"60-90 |
60 - 90","Bw3
Bw3","52.0
52.0","16.0
16.0","32.0
32.0","sc]
scI",-~,"7.5
7.5","0.05
0.05","19°50'20"" Nand 84°49'20"" ",25,19.83888889,84.82222222,Orissa
22,"90-125
90 - 125",| BBw w4 4,"58.1
58.1","12.6
12.6","29.3
29.3",ssccli,"-
-","7.8
7.8","0.06
0.06","19°50'20"" Nand 84°49'20"" ",25,19.83888889,84.82222222,Orissa
23,"Depth |
Depth
(cm)
(cm)","Hori-
Hori-
zzo on o |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
A)
(%)","Silt
SUt
(0.05-
(0.05-
0.002mm);
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e
frag.
frag.
vvool.l . |
((%%) )","pH
| pH
| 11: :2 2. .5 5
wwat ae tr e,
r","EC
EC
| 11: :2 2. .5 5
water
water
(dS/m)
(dS/m)","19°49'30"" N a'1d 83°44' 13"" E ",27,19.825,83.73694444,Orissa
24,"0-14
0 - 14","Ap
Ap","20.0
20.0","41.9
41.9","38.1
38.1",ccll,--,"44. .9
9","0.1)
0.11","19°49'30"" N a'1d 83°44' 13"" E ",27,19.825,83.73694444,Orissa
25,"14-35 |
14 - 35","Bwegl
Bwgl","24.2
24.2","34.5
34.5","41.3
41.3",cc,--,"6.3
6.3","0.07
0.07","19°49'30"" N a'1d 83°44' 13"" E ",27,19.825,83.73694444,Orissa
26,"33 55 - -5 5 |
5 5","BBw wg g2
2",2288..44,3344..22,3377..44,ccll,--,"6.3
6.3",00..0077,"19°49'30"" N a'1d 83°44' 13"" E ",27,19.825,83.73694444,Orissa
27,"55-69 |
55 - 69","BBw wg g3
3","20.7
20.7","35.1
35.1","44.2
44.2",cc,--,66..55,"0.08
0.08","19°49'30"" N a'1d 83°44' 13"" E ",27,19.825,83.73694444,Orissa
28,66 99 - -9 5 9 5 |,"BBw wg g4
4","24.3
24.3","33.2
33.2","42.5
42.5",c¢,"-
-",66..66,"0.05
0.05","19°49'30"" N a'1d 83°44' 13"" E ",27,19.825,83.73694444,Orissa
29,"DDe ep pth th |
(cm)
(ern)","Hori-
Hor;-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
rnm)
(%)
(%)","SSiillt t
(0.05-
(0.05-
0.002mm)}
0.OO2mm)
(A)
(%)","Clay
Clay
(<0.002
«0.002
mm)
mm)
(%)
(%)",TTe ex xtu ture r e |,"CCo oar as re
e
frag.
frag.
vvool.l . |
(%)
(%)","| ppH H
| 11: :2 2. .5 5
wwa ate ter
r","EC
EC
| 11: :2 2. .5 5
| wwa ate ter r
(dS/m)
(dS/m)","19°19'42""N and 83° 30'45' E ",29,19.32833333,83.5125,Orissa
30,"0-7
0 - 7","Ap
Ap","10.1
10.1","47.6
47.6","42.3
42.3","sic
sic",-~,"6.4
6.4","0.23
0.23","19°19'42""N and 83° 30'45' E ",29,19.32833333,83.5125,Orissa
31,"7-19 |
7 - 19","Bwgl
Bwgl","11.4
11.4","44.5
44.5","44,1
44.1","sic
sic",--,"6.8
6.8","0.16
0.16","19°19'42""N and 83° 30'45' E ",29,19.32833333,83.5125,Orissa
32,"11 99 - -5 1 |
5 1","Bwg2
Bwg2","24.7
24.7","26.1
26.1","49.2
49.2",cc,--,"A
57 .1","0.18
0.18","19°19'42""N and 83° 30'45' E ",29,19.32833333,83.5125,Orissa
33,"51-72 |
51 - 72","Bwg3
Bwg3","28.1
28.1","17.8
17.8","54.1
54.1",cc,"-
-","7.3
7.3","0.12
0.12","19°19'42""N and 83° 30'45' E ",29,19.32833333,83.5125,Orissa
34,"77 22 - -1 0 10 |
0 0","Bwg4
Bwg4","27.5
27.5","18.9
18.9","53.6
53.6",cc,--,"6.9
6.9","0.11
0.11","19°19'42""N and 83° 30'45' E ",29,19.32833333,83.5125,Orissa
35,11 00 00 - — 115 55 5 _|,"BBw wg gS
5","25.9
25.9",1199..33,"54.8
54.8",cc,--,"7.2
7.2","0.11
0.11","19°19'42""N and 83° 30'45' E ",29,19.32833333,83.5125,Orissa
36,"DDe ep pth th |
(cm)
(cm)","Hori-
Bori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
(%)
(%)","SSiiltl t
(0.05-
(0.05-
0.002mm)|
O.OOlmm)
(%)
(%)","Clay
Clay
(<0.002
«0.002
mm)
mm)
(%)
(%)","Texture
Texture |","Coarse
Coarse
ffr ra ag g. . |
vol. |
vol.
(%)
(%)","| ppH H
11: :2 2. .5 5 |
wwa ate ter
r","EC
EC
11: :2 2. .5
5
| wwa ate ter r
(dS/m)
(dS/m)","20·16' 0' Nand 84· 58'45"" ",31,20.26666667,84.97916667,Orissa
37,"0-10
0-10","Ap
Ap","40.0
40.0",3377..77,"«2.3
... ""'.3",II,--,55..77,"0.22
0.22","20·16' 0' Nand 84· 58'45"" ",31,20.26666667,84.97916667,Orissa
38,11 00 - -3 30 0 |,"BBw wi
l","40.8
40.8","28.3
28.3","30.9
30.9",sscclI,"-
-","6.4
6.4","0.14
0.14","20·16' 0' Nand 84· 58'45"" ",31,20.26666667,84.97916667,Orissa
39,330 0— -5 0 5 0 |,"BBw w2
2","42.3
42.3",1199..33,"38.4
38.4","sc
sc",-~,"6.8
6.8","0.17
0.17","20·16' 0' Nand 84· 58'45"" ",31,20.26666667,84.97916667,Orissa
40,"50-70
50-70 |","B Bw w3
3","44.8
44.8",99..33,"45.9
45.9",sscc,--,"Te
7.2","0.13
0.13","20·16' 0' Nand 84· 58'45"" ",31,20.26666667,84.97916667,Orissa
41,"70-86 |
70 - 86","BBw w4
4","40.3
40.3","23.5
23.5","36.2
36.2",ccll,55,"7.5
7.5","0.12
0.12","20·16' 0' Nand 84· 58'45"" ",31,20.26666667,84.97916667,Orissa
42,"86-146
86 - 146",| BBw ws 5,"39.8
39.8","25.8
25-.8","34.3
34.3",ccll,88,"7.5
7.5","0.10
0.10","20·16' 0' Nand 84· 58'45"" ",31,20.26666667,84.97916667,Orissa
43,"DDe ep pth th |
(em)
(cm)","Hori-
Hori-
zon","Sand
Sand
(2.0-0.05
(2.0-0.05
mm)
mm)
{(“%%)J","SSiiltl t
(0.05-
(0.05-
0.002mm)/
0.OO2mm)
((_%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )",TTe ex xt tu ure re |,"CCo oa ars rse e |
ffr ra ag g. . |
vol. |
vol.
((%%) )","ppH
H
11: :2 2. .5
5
water
water","EC
EC
| 1£: :2 2. .5 5
water
| water
dS/m)
(dS/m)",20·14'45' Nand 84°13' E ,33,20.24583333,84.21666667,Orissa
44,"0-8
0 - 8",A,"58.4
58.4","17.1
J7 . I","24.5
24.5","sc]
sci",-~,"6.3
6.3","0.08
0.08",20·14'45' Nand 84°13' E ,33,20.24583333,84.21666667,Orissa
45,88 -— 228 8,Btl,"40.5
40.5","29.3
29.3","30.2
30.2",cclI,33,"6.6
6.6","0.08
0.08",20·14'45' Nand 84°13' E ,33,20.24583333,84.21666667,Orissa
46,2 28 8 -— 4 48 8,"Bt2
Bt2","37.2
37.2","29.1
29.1","33.7
33.7",ccll,"17
17","6.8
6.8","0.04
0.04",20·14'45' Nand 84°13' E ,33,20.24583333,84.21666667,Orissa
47,"48 — 76
48 - 76","Bt3
Bt3","36.3
36.3","27.4
27.4","36.3
36.3",ccll,"28
28","7.1
7.1","0.05
0.05",20·14'45' Nand 84°13' E ,33,20.24583333,84.21666667,Orissa
48,776 6 -— 880 0,"weathered parent material
weathered parent material",,,,,,,,20·14'45' Nand 84°13' E ,33,20.24583333,84.21666667,Orissa
49,"Depth
Depth
(cm)
(cm)","Hori-
Horl-
zzo on n |","| SSa an nd d
(( 22. .00- -0 0. .0 05
5
mim)
mm)
((%%) )","SSiiltl t
(0.05-
(0.05-
0.002mm),;
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","Coarse
| Coarse
ff rra ag g. . |
vvool.l . |
((0%/)0 )","| ppH H
11: :2 2. .5
5
wwa ate ter
r","EC
EC
| 11: :2 2. .5 5
| wwa ate ter r
(dS/m)
(dS/m)","19°50'45 Nand 84°48' 15""E ",35,19.84583333,84.80416667,Orissa
50,"0-14
0 - 14","Ap
Ap","76.6
76.6",99..55,"13.9
13.9",5sl 1,-~,55..44,"0.17
0.17","19°50'45 Nand 84°48' 15""E ",35,19.84583333,84.80416667,Orissa
51,1144 -— 3333,"Btl
Btl","58.5
5S.5","16.8
16.S","24.7
24.7",ssccl i,-~,55..77,"0.13
0.13","19°50'45 Nand 84°48' 15""E ",35,19.84583333,84.80416667,Orissa
52,3333 -— 554 4,"Bt2
Bt2","42.4
42.4",227 7.4.4,"30.2
30.2",ccll,-~,55..99,"0.06
0.06","19°50'45 Nand 84°48' 15""E ",35,19.84583333,84.80416667,Orissa
53,5544 -— 110 00 0,"8Btt3
3","50.0
50.0",113 3. .66,"36.4
36.4",sscc,-~,66..1 1,"0.04
0.04","19°50'45 Nand 84°48' 15""E ",35,19.84583333,84.80416667,Orissa
54,"11 000 0~ -— 1 17 70 |
0","BBt t4
4","48.5
4S.5",99..33,"42.2
42.2",sscc,-~,66..22,"0.04
0.04","19°50'45 Nand 84°48' 15""E ",35,19.84583333,84.80416667,Orissa
55,"0-16
0- 16","A
A","63.1
63.1",1144..88,"22.1
22.1",ssccli,--,"55. .5
5","0.09
0.09",19·52'41 'N and 84·41'42' ,37,19.87805556,84.695,Orissa
56,116 6 -— 3 35 5,"Bwl
Bwl","60.7
60.7","14.3
14.3","25.0
25.0",ssccli,IllI,"52
5.2","0.03
0.03",19·52'41 'N and 84·41'42' ,37,19.87805556,84.695,Orissa
