,"DDe ep pth th |
(cm)
(cm)","Hori-
Hori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%) )","SSiilltt
(0.05-
(0.05-
0.002mm)|
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e
ffr ra ag g. . |
vvool.l . |
((%%) )","| ppH H
11: :2 2. .5
5
water
water","EC
EC
| 11: :2 2. .5 5
| wwa ate ter r
(dS/m)
(dS/m)",lat_long,page,x,y,state
554,110 05 5- -1 )5 55 5 |,BBs ss sk k4 4,4400..22,1144..88,4455..00,cc,--,88..22,00..7766,"19°42'30"" Nand 85°11' E ",221,19.70833333,85.18333333,Orissa
555,DDe ep pth th | (cm) (em),Hori- Bori- zon | zon,Sand (( 22. .00- -0 0. .0 05 5 mm) ((“%%) ),SSiiltl t (0.05- 0.002mm); 0.002mm) ((%%) ),Clay (<0.002 | (<0.002 mm) ((%%) ),Texture,| CCo oa ars rse e | frag. | rrag. vol. | vol. ((%%) ),ppH H 1:2.5 water,EC | 1:2.5 1:2.5 | wwa ate ter r (dS/m),"21°08'15"" Nand 86°50'15"" E ",223,21.1375,86.8375,Orissa
556,0-26 0 -26,A,30.5,33.4,36.1,ccll,- ~,6.4,0.88,"21°08'15"" Nand 86°50'15"" E ",223,21.1375,86.8375,Orissa
557,229 9- -6 61 1 |,BBg gw wl l,8,51.8,40.2,sic,-,6.7,0.76,"21°08'15"" Nand 86°50'15"" E ",223,21.1375,86.8375,Orissa
558,661 1- -9 99 9 |,Bwg2,9.1,52.9,38,sicl sic!,-,6.6,0.63,"21°08'15"" Nand 86°50'15"" E ",223,21.1375,86.8375,Orissa
559,99-150 99 - 150 |,Bwg3 Bwg3 |,11,45.7,43.2,sic,-,6.8,0.6,"21°08'15"" Nand 86°50'15"" E ",223,21.1375,86.8375,Orissa
560,Depth | Depth (cm) (em),Hori- zzo on n |,Sand (( 22. .00- -0 0. .0 05 5 mim) mm) ((%%) ),SSiilltt (0.05- | (0.05- 0.002mm)| 0.002mm) ((%%)),Clay (<0.002 «0.002 mm) ((%%) ),Texture,| CCo oa ars rse e | ffr ra ag g. . | VVol o. l . | ((%%))_,ppH H 11: :2 2. .5 5 water,EC | 11: :2 2. .5 5 | wwa ate tr e r (dS/m),"20°13'45"" Nand 85°14'30"" E ",225,20.22916667,85.24166667,Orissa
561,0-14 0 - 14,A,47.6,15.6,36.8,sscc,50,55..00,0.05,"20°13'45"" Nand 85°14'30"" E ",225,20.22916667,85.24166667,Orissa
562,14-31 14 - 3\,BBtlt l,42.5 42.S,1122..66,44.9,cC,65,55..00,0.05,"20°13'45"" Nand 85°14'30"" E ",225,20.22916667,85.24166667,Orissa
563,31-69 31 - 69,Bt2,44.5,10,45.5,cc,75,44..99,0.05,"20°13'45"" Nand 85°14'30"" E ",225,20.22916667,85.24166667,Orissa
564,69+,CCrr,weathered parent material,,,,,,,"20°13'45"" Nand 85°14'30"" E ",225,20.22916667,85.24166667,Orissa
565,Depth (cm) (em),Horizon,Sand (2.0-0.05 mm) (%),SSillit t ((00..0055- - 0.002mm) W(%).),Clay (<0.002 mm) (%) mm) (Of.),Texture,Coarse Coar e frag. vvool.l . (( O%) f. ) |,pH 1:2.5 wwa ate ter r,"EC 1:2.5 | wwa ate ter r (dSm"")",20°40' Nand 86°34' E ,229,20.66666667,86.56666667,Orissa
566,0-13 0 - J3,Ap Ao,12,36.7,51.3,cc,-~,6,0.48,20°40' Nand 86°34' E ,229,20.66666667,86.56666667,Orissa
567,1133 -— 2 27 7,Cl CI,32.6,37.8,29.6,cclI,--,6.5,0.42,20°40' Nand 86°34' E ,229,20.66666667,86.56666667,Orissa
568,2277 —- 5500,C2,44..44,35.8,59.8,Ccc,--,6.5,0.26,20°40' Nand 86°34' E ,229,20.66666667,86.56666667,Orissa
569,50-71 50 - 71,C3,3.7,36.9,59.4,cc,#NAME?,6.5,0.23,20°40' Nand 86°34' E ,229,20.66666667,86.56666667,Orissa
570,771 1 -- —9 92 2,C4,2.3,27.8,69.9,cc,--,6.5,0.13,20°40' Nand 86°34' E ,229,20.66666667,86.56666667,Orissa
571,92-111 92 - 111,C5,8,36.3,55.7,cc,--,6.6,0.07,20°40' Nand 86°34' E ,229,20.66666667,86.56666667,Orissa
572,111 11 1 -— 113 32 2,C6,12.1,30.6,57.3,cc,#NAME?,6.7,0.05,20°40' Nand 86°34' E ,229,20.66666667,86.56666667,Orissa
573,113 32 2 -— 116 60 0,C7,10.4,33.9,55.7,cc,--,6.8,0.03,20°40' Nand 86°34' E ,229,20.66666667,86.56666667,Orissa
574,D e p t h Depth ( c m ) (em),H o r i z o n Horizon,S a n d Sand | )( 2 . 0 - 0 . 0 5 (1.0·0.05 m m ( % ) mm) (Of.) |,Slit Siit )( 0 . 0 5 - (0.05· 0 _. 0 0 2 m m O.OOlmm) } ( % ) (0/0),2C l a y Clay ( < 0 . 0 0 «0.002 m m ) mm) ( % ) (%),T e x t u r e Tuture,Coarse | C o a r s e frag. ( % ) (0/0),p H pH 1:2.5 1:1.5 w a t e r water,E C EC 1:2.5 )w a t e r water (dSm' l ) ( d S m ‘ ',,231,20.575,86.2875,Orissa
575,0 - 1 8 0 - 18,A p Ap,4 5 . 4 45.4,12,4 2 . 6 42.6,c,- =,5.8,0.65,,231,20.575,86.2875,Orissa
576,1 8 - 3 5 18 - 35,B w l Bwl,4 0 . 7 40.7,14.9,4 4 . 4 44.4,c c,- ~,5.8,0.61,,231,20.575,86.2875,Orissa
577,35 - 52 35 -— $2,B w 2 Bw2,4 2 . 4 42.4,14.1,4 3 . 5 43.5,c c,- -,5.5,0 . 5 4 0.54,,231,20.575,86.2875,Orissa
578,52 - 68 52 - 68,B w 3 Bw3,30.3,19.6,50.1,c c,- -,5.6,0 . 5 4 0.54,,231,20.575,86.2875,Orissa
579,68 - 86 68 — 86,B w 4 Bw4,2 5 . 7 25.7,20.7,53.6,c c,- -,5.7,0.43,,231,20.575,86.2875,Orissa
580,8 6 - 1 1 0 86 - 110,B w s Bw5,17.9,2 5 . 4 25.4,56.7,c é,- -,6,0.32,,231,20.575,86.2875,Orissa
581,1 1 0 - 1 3 0 110 - 130,B w 6 Bw6,11.9,3 2 . 9 32.9,55.2,c c,#NAME?,6.3,0 . 2 9 0.29,,231,20.575,86.2875,Orissa
582,130 - 150 130 — 150,B w 7 Bw7,9.1 9.1,4 3 . 5 43.5,4 7 . 4 47.4,sic sic,- =,6.5,0 . 1 9 0.19,,231,20.575,86.2875,Orissa
583,Depth (em),Horizon,Sand (2.0-0.05 (2.0·0.05 mm) (%),SSillitt (( 00. .0 05 5- . 0.002mm) 0.OO2mm) (%),Clay (<0.002 «0.002 mm) (%),TTe ex xtu ture re |,CCo oa ars rse e (frraagg. . vvool.l . (%),pH 11::22..55 water,"EC 11::22..55 water (dSm"") (dSm"" )",,233,20.59583333,86.28611111,Orissa
584,0-14 0- 14,Ap,22,44.2,33.8,ssiiccll,·-,55..55,0.81,,233,20.59583333,86.28611111,Orissa
585,14-36 14 - 36,Bwl,20.3,43.2,36.5,ssiiccll,·-,55..88,0.77,,233,20.59583333,86.28611111,Orissa
586,336 6 -- 660 0,Bw2,"66,.55",446 6..77,46.8,ssiicc,·-,66..00,0.72,,233,20.59583333,86.28611111,Orissa
587,60-78 60 - 78,Bw3,2211..55,3366..66,4411..99,ssiicc,·-,66..22,00..6688,,233,20.59583333,86.28611111,Orissa
588,78-92 78 - 92,Bw4,10,44.8,45.2,ssiicc,·-,6.4,0.64,,233,20.59583333,86.28611111,Orissa
589,992 2 -— 111 14 4,Bw5 BwS,32.5,32.8,34.7,ccll,·-,66..33,0.56,,233,20.59583333,86.28611111,Orissa
590,11 11 44 - —- 113 32 2,Bw6,55..66,445 5..88,48.6,ssiicc,·-,66..44,0.54,,233,20.59583333,86.28611111,Orissa
591,113 32 2 -— I1 S50 O,Bw7,66..00,4488.2.2,4455.8.8,ssiicc,·-,66..33,00..4488,,233,20.59583333,86.28611111,Orissa
592,Depth (cm),Horizon,Sand (2.0-0.05 (2.0.0.05 mmm m) ) (( %%) ) |,SSillti t (0.05- O0. .O00 O2 2m mm m) ) (%) _(%)_,Clay (<0.002 «0.002 | mmm m) ) (( %%) ),Textu re,Coarse frag. Vol. (rag. Vol. (%) Wo),pH 1:2.5 water,"EC 1:2.5 | wwa ate ter r (dSm"") (dSm·l )","20°08'45"" Nand 85°45' E ",235,20.14583333,85.75,Orissa
593,0-14,AAp p |,29.4,34.4,36.2 36.2 |,ol cJ,#NAME?,5,0.87,"20°08'45"" Nand 85°45' E ",235,20.14583333,85.75,Orissa
594,14-39 14 -39,Bwil Bwl,30.3,30,39.7,ccll,-~,5.1 5.J,0.83,"20°08'45"" Nand 85°45' E ",235,20.14583333,85.75,Orissa
595,3399 —- 6600,Bw2,24.5,44.3,31.2,ccll,--,49 4.9,0.7,"20°08'45"" Nand 85°45' E ",235,20.14583333,85.75,Orissa
596,660 0 -— 9977,Bwgl,14.5,53.6,31.9,sicl sicJ,--,4.5,0.64,"20°08'45"" Nand 85°45' E ",235,20.14583333,85.75,Orissa
597,97-155 97 - ISS,Bwg2,34.3,36.4,29.3 ___ 29.3,ccll,--,4.5,0.57,"20°08'45"" Nand 85°45' E ",235,20.14583333,85.75,Orissa
598,Depth (cm) (em),| HHo or ri iz zo on n,Sand (2.0-0.05 mm) (%),SSillti t (( 00. .0 05 5- - 0.002mm) (%),Clay (<0.002 «0.002 mm) (%),Textu Tutu rree,| Coarse Coarse fragment | | fragment 5s (( %%) ),pH 1:2.5 water,"EC 1:2.5 | wwa ate ter r (( dd SSm m""' -)l )","20°23'20"" Nand 85°52' E ",237,20.38888889,85.86666667,Orissa
599,0-15,Ap,22.8,$3.5 53.5,23.7,ssilil,-,5.8,0.87,"20°23'20"" Nand 85°52' E ",237,20.38888889,85.86666667,Orissa
600,115 5 -— 330 0,Bwl,18,"46,7 46.7",35.3,ssiicc] l,--,6,0.62,"20°23'20"" Nand 85°52' E ",237,20.38888889,85.86666667,Orissa
601,330 0—- S50 O,Bw2,15.4 1504,42.6,42,ssiicc,-~,6.1,0.71,"20°23'20"" Nand 85°52' E ",237,20.38888889,85.86666667,Orissa
602,50-75,Bw3,1177..55,"443 44,3",38.2,ssiiccl l,-~,6.3,0.43,"20°23'20"" Nand 85°52' E ",237,20.38888889,85.86666667,Orissa
603,75-100,2C | 2C,78.4,99..33,12.3,ssll,--,6.6,0.44,"20°23'20"" Nand 85°52' E ",237,20.38888889,85.86666667,Orissa
604,Depth | Deptb (cm) (em),Hori- zon | zon,Sand (2.0-0.05 mm) ((%%) ),Silt (0.05- | (0.05- 0.002mm)| 0.OO2mm) ((%%) ),Clay | Clay (<0.002 «0.002 mm) ((%%) ),TTe ex xt tu ure re,Coarse | Coarse frag. | frag. vol. | vol. ((%%) ),pH | pH 1:2.5 water,EC | 11: :2 2. .5 5 | wwa ate ter r (dS/m),,239,19.975,85.70833333,Orissa
605,0-15 0 -15,Ap,24.5 |,19.6,55.9,cc,--,45 4.5,0.79,,239,19.975,85.70833333,Orissa
606,11 55 - -3 38 | 8,Bwegl Bwg1,20.4,17.6,62.6,cc,--,5.0 | 5.0,0.67,,239,19.975,85.70833333,Orissa
607,38~62 | 38 - 62,Bwg2,12.5,21.7,65.8,cc,--,55 5.5,0.64,,239,19.975,85.70833333,Orissa
608,62-95 | 62 - 95,Bwg3,22.3,15.4,62.3,cc,--,6.2,0.58,,239,19.975,85.70833333,Orissa
609,95-150 | 95 - 150,Bwg4,25.6,15.9,58.5,cc,-=,6.3,0.51,,239,19.975,85.70833333,Orissa
610,Depth [ Deptb (cm),|Hori-| Hori- zzo on n |,Sand (( 22. .00- -0 0. .0 05 5 mm) ((‘%“)),Silt (0.05- 0.002mm);| 0.002mm) ((%%) ),Clay | Clay (<0.002 «0.002 mm) ((%*) ),TTe ex xtu ture r e |,Coarse ffr ra ag g. . | vol. | vol. ((%%) ),| ppH H 11: :2 2. .5 5 water,EC | 11: :2 2. .5 5 | wwa ate ter r ((ddSS//mm) ),,241,19.79194444,85.97555556,Orissa
611,0-18 | 0 - 18,Ap,84,6.5,9.5,IIss,-=,5.6 | 5.6,0.65,,241,19.79194444,85.97555556,Orissa
612,1188 -— 334 4,Al2,6688. .5 5,99..00,2222..55,ssccli,--,55..99,00..5588,,241,19.79194444,85.97555556,Orissa
613,34-7] 34-71,Cl,82.6,88..99,88. .5 5,IIss,--,55..77,0.51,,241,19.79194444,85.97555556,Orissa
614,71-106 | 71 - 106,Cgl Cgt,8855..00,77..55,75 7.5,IIss,--,55..88,00..4477,,241,19.79194444,85.97555556,Orissa
615,11 00 66 - - 15 10 5 0 |,CCg g2 2,8844..00,77..55,88..55,Ilss,--,66..00,0.43,,241,19.79194444,85.97555556,Orissa
616,Depth | Depth (cm) (em),Hori- zzo on n |,Sand (( 22. .00- -0 0. .0 05 5 mm) (%) (0/0),SSiillt t (0.05- 0.002mm)| 0.002mm) (%) (0/0),Clay (<0.002 «0.002 mm) (%) (0/0),Texture,| CCo oa ars rse e frag. vvool.l . | ((%%) ),| ppH H | 11: :2 2. .5 5 wwa ate ter r,EC | 11: :2 2. .5 5 water | water (dS/m),"19°58' 36"" Nand 85°30' E ",243,19.97666667,85.5,Orissa
617,0-15 0 - 15,Ap,25.6,36.9,37.5,ccll,--,3,0.87,"19°58' 36"" Nand 85°30' E ",243,19.97666667,85.5,Orissa
618,is—32_ | 15 - 32,Ag A2,41,37.6,21.4,cl,= -,5.0 | 5.0,0.8,"19°58' 36"" Nand 85°30' E ",243,19.97666667,85.5,Orissa
619,32-65 32 - 65,Cgi C~l,15,42.6,42.4,ssiicc,--,55..66,0.72,"19°58' 36"" Nand 85°30' E ",243,19.97666667,85.5,Orissa
620,65-95 65 - 95,Cg2,41.1 41. J,36.3,22.6,Il,--,4,0.65,"19°58' 36"" Nand 85°30' E ",243,19.97666667,85.5,Orissa
621,95-150 | 95 - 150,Cg3 CJ.t3,24.6,39.9,35.5,ccll,-~,5,0.54,"19°58' 36"" Nand 85°30' E ",243,19.97666667,85.5,Orissa
622,Depth (cm),| HHo ori r- i - zon,Sand (2.0-0.05 mm) (%),SSiiltl t (0.05- 0.002mm) (%) | (%),Clay (<0.002 «0.002 mm) (%),Texture ~,Coarse | Coar e frag. vvool.l . (%),| ppH H 1:2.5 {| 1:2.5 water,EC | 11: :2 2. .5 5 | wwa ate ter r (dS/m),"19°53' 30"" Nand 85°56' E ",245,19.89166667,85.93333333,Orissa
623,0-19 0 - 19,Ap,115 5..00,50.9,34.1,ssiiccll,--,55 5.5,2.8,"19°53' 30"" Nand 85°56' E ",245,19.89166667,85.93333333,Orissa
624,19-55 19 - 55,| BBwweggl l,1199..88,3322..44,4477.8.8,cc,--,66..99,22..9 9] 1,"19°53' 30"" Nand 85°56' E ",245,19.89166667,85.93333333,Orissa
625,55-95 55 - 95,Bwg2,99..55,4433..22,4477.3.3,ssiicc,--,il 7.1,22..6644,"19°53' 30"" Nand 85°56' E ",245,19.89166667,85.93333333,Orissa
626,95-148 95 - 148,| BBw wg g3 3,44..66,4488.6.6,4466..88,ssiicc,--,77..33,22..3322,"19°53' 30"" Nand 85°56' E ",245,19.89166667,85.93333333,Orissa
627,0-8 0 - 8,Apgl,46.1,26.4 '26.4,27.5,scl sci,-,5.4,1.08,,247,20.39583333,86.44583333,Orissa
628,8-29 8 - 29,Ag2,66.2,15.4,18.4,ssll,-,7.8,0.87,,247,20.39583333,86.44583333,Orissa
629,229 9- -6 69 9 |,22C el l,14.9,58.4,26.7,ssiill,-:,ti 7.7,0.76,,247,20.39583333,86.44583333,Orissa
630,69-90 | 69 - 90,3C2,88.3,a 2.5,9.2,sS,- ~,7.6,0.7,,247,20.39583333,86.44583333,Orissa
631,90-130 | 90 - 130,44C C3 3,24.5,51.9,23.6,ssiill,- :,7.8,0.63,,247,20.39583333,86.44583333,Orissa
632,130-140 130 - 140,| 55C C4 4,76.4,11.3,12.3,Ilss,-,8,0.57,,247,20.39583333,86.44583333,Orissa
633,Depth (cm),| HHo ori r- i - zon,Sand (2.0-0.05 mm) (A) (%),Silt (0.05- (0.05 .. 0.002mm)| 0.OO2mm) _( (% %) ),Clay | Clay (<0.002 «0.002 mm) (%) 1%),Texture,| CCo oar as re s| e frag. Crag. vol. | vol. (“) (%J,pH 1:2.5 water,| EC EC | 11: :2 2. .5 5 | wwa ate ter r (dS/m) _(dS/mj,"19°50'50"" Nand 85°54'30"" E ",249,19.84722222,85.90833333,Orissa
634,0-20 0 - 20,AA,8899..00,43 4.3,66..77,Ilss,--,66..66,44..44,"19°50'50"" Nand 85°54'30"" E ",249,19.84722222,85.90833333,Orissa
635,2200 -- 5500,Al2 AI2,8899..44,44..22,66..44,IIss,#NAME?,77..00,33..88,"19°50'50"" Nand 85°54'30"" E ",249,19.84722222,85.90833333,Orissa
636,550 0—- 888 8,Cl CI,9911..11,44..66,43 4.3,ss,--,66..99,44..00,"19°50'50"" Nand 85°54'30"" E ",249,19.84722222,85.90833333,Orissa
637,888 8 -— 112 20 0,C2,8899..99,44..22,55..99,s8,--,66..88,44..66,"19°50'50"" Nand 85°54'30"" E ",249,19.84722222,85.90833333,Orissa
638,DDe ep pth th | (cm),HHo ori r- i - zou ZOD,Sand ((22..00--00..0055 mm) ((‘%%)),SSiilltt ((00..0055-- 0.002mm)| O.OO2mm) ((%%)),Clay (<0.002 «0.002 mm) ((%%) ),Texture,| CCo oa ars rse e ffrraagg. . vvool.l . | ((%%) ),| ppH H 11::22..55 water,EC | 11::22..55 | wwa ate ter r (dS/m),,251,19.88944444,85.93166667,Orissa
639,0-2) 0-21,Ap,1166..88,4488..77,3344..55,ssiiccll,-~,66..99,00..6688,,251,19.88944444,85.93166667,Orissa
640,22 11 - -5 0 50 |,BBw wgl g J,7i).3,5566..55,3366..22,ssiiccll,--,77..33,00..6622,,251,19.88944444,85.93166667,Orissa
641,50-85 | 50- 85,Bwg2,7.6,50.1,42.3,sic,-=,76 | 7.6,057 0.57,,251,19.88944444,85.93166667,Orissa
642,88 55 - -1 3 18 3 8 |,B Bw wg g3 3,77..88,4477..77,44.5,ssiicc,-~,778.8,00..4499,,251,19.88944444,85.93166667,Orissa
643,Depth | Depth (cm),Hori- zzo on n |,Sand (( 22. .00- -0 0. .0 05 5 mm) ((%%) ),Silt (0.05- 0.002mm)| 0.002mm) (%),Clay (<0.002 «0.002 mm) (%),Texture,| CCo oa ars rse e frag. | frag. vol. | vol. (%),pH | pH 1:2.5 water,EC | 1:2.5 1:2.5 water | water (dS/m)_ (dS/m),,253,20.71666667,86.63611111,Orissa
644,0-11 0- 11,Ap,2255..66,5500..66,"23,8 23.8",ssiill,--,55..88,1.62,,253,20.71666667,86.63611111,Orissa
645,11-25 11 -25,Bw! Bwl,18.2,5511..88,3300..00,ssiiccll,- ~,55..88,1.41,,253,20.71666667,86.63611111,Orissa
646,2255 -— 3377,Bw2,1166..66,5500..77,3322..77,ssiiccll,-~,55..66,1.3,,253,20.71666667,86.63611111,Orissa
647,37-50 37 - 50,Bw3,1199..44,5511..22,2299..44,ssiiccl l,--:,55..77,1.18,,253,20.71666667,86.63611111,Orissa
648,50-75 50 - 75,Bw4,26.8,4499..00,24.2,ssiill,-,6,0.94,,253,20.71666667,86.63611111,Orissa
649,7755 -— 110 00 0,2Cl,5566..22,2255..00,1188..88,ssll,#NAME?,66..33,0.83,,253,20.71666667,86.63611111,Orissa
650,11 00 00 - - 12 15 25 |,22C C2 2,6644..00,220 0..00,1166..00,sl 51,-,66..55,0.87,,253,20.71666667,86.63611111,Orissa
